train_name,final_destination_station,delay_in_min,time,is_canceled,train_type,train_line_ride_id,train_line_station_num,arrival_planned_time,arrival_change_time,departure_planned_time,departure_change_time,id,source_month,train_cat,hour_dec,day_of_month,days_until_xmas,is_delayed,delay_pos_min,log_delay_pos,date,hour,minute,weekday,is_weekend,minutes_since_midnight,hour_sin,hour_cos,has_arrival_times,has_departure_times,event_type,arrival_delay_calc_min,departure_delay_calc_min,delay_matches_arrival_calc
RE 11,Dortmund Hbf,42,2025-12-01 00:01:00,False,RE,,11,2025-11-30 23:19:00,2025-12-01 00:01:00,,,-3430990394287279579-2511302103-11,2025-12,Regional,0.0166666666666666,1,23,True,42,3.7376696182833684,2025-12-01,0,1,0,False,1,0.004363309284746571,0.9999904807207345,True,False,arrival_only,42.0,,True
RE 3,Dortmund Hbf,5,2025-12-01 00:01:00,False,RE,3.406074662513234e+18,11,2025-11-30 23:56:00,2025-12-01 00:01:00,,,3406074662513233759-2511302245-11,2025-12,Regional,0.0166666666666666,1,23,True,5,1.6094379124341003,2025-12-01,0,1,0,False,1,0.004363309284746571,0.9999904807207345,True,False,arrival_only,5.0,,True
RE 6,Dortmund Hbf,12,2025-12-01 00:04:00,False,RE,,13,2025-11-30 23:52:00,2025-12-01 00:04:00,,,-903121789782397735-2511302148-13,2025-12,Regional,0.0666666666666666,1,23,True,12,2.4849066497880004,2025-12-01,0,4,0,False,4,0.01745240643728351,0.9998476951563913,True,False,arrival_only,12.0,,True
RB 59,Unna,3,2025-12-01 00:06:00,False,RB,5.256265021891303e+18,1,,,2025-12-01 00:03:00,2025-12-01 00:06:00,5256265021891303898-2512010003-1,2025-12,Regional,0.1,1,23,True,3,1.0986122886681098,2025-12-01,0,6,0,False,6,0.02617694830787315,0.9996573249755573,False,True,departure_only,,3.0,
ICE 209,Köln Hbf,33,2025-12-01 00:08:00,False,ICE,,9,2025-11-30 23:32:00,2025-12-01 00:09:00,2025-11-30 23:35:00,2025-12-01 00:08:00,-4463983841688751065-2511302029-9,2025-12,HighSpeed,0.1333333333333333,1,23,True,33,3.4965075614664802,2025-12-01,0,8,0,False,8,0.03489949670250097,0.9993908270190958,True,True,both,37.0,33.0,False
S 1,Dortmund Hbf,1,2025-12-01 00:08:00,False,S,1.2522814363105618e+18,39,2025-12-01 00:07:00,2025-12-01 00:08:00,,,1252281436310561718-2511302213-39,2025-12,S-Bahn,0.1333333333333333,1,23,True,1,0.0,2025-12-01,0,8,0,False,8,0.03489949670250097,0.9993908270190958,True,False,arrival_only,1.0,,True
S 2,Dortmund Hbf,1,2025-12-01 00:13:00,False,S,,11,2025-12-01 00:12:00,2025-12-01 00:13:00,,,-8551381297133856391-2511302332-11,2025-12,S-Bahn,0.2166666666666666,1,23,True,1,0.0,2025-12-01,0,13,0,False,13,0.05669278756337751,0.9983916705573488,True,False,arrival_only,1.0,,True
RE 4,Dortmund Hbf,25,2025-12-01 00:16:00,False,RE,8.940922265443011e+18,24,2025-11-30 23:51:00,2025-12-01 00:16:00,,,8940922265443010061-2511302121-24,2025-12,Regional,0.2666666666666666,1,23,True,25,3.2188758248682006,2025-12-01,0,16,0,False,16,0.0697564737441253,0.9975640502598242,True,False,arrival_only,25.0,,True
S 2,Essen Hbf,0,2025-12-01 00:17:00,False,S,,1,,,2025-12-01 00:17:00,2025-12-01 00:17:00,-3860351201071312770-2512010017-1,2025-12,S-Bahn,0.2833333333333333,1,23,False,0,,2025-12-01,0,17,0,False,17,0.07410849019539922,0.9972501850994857,False,True,departure_only,,0.0,
RE 1,Hamm(Westf)Hbf,6,2025-12-01 00:22:00,False,RE,,21,2025-12-01 00:14:00,2025-12-01 00:21:00,2025-12-01 00:16:00,2025-12-01 00:22:00,-3839873299490496603-2511302151-21,2025-12,Regional,0.3666666666666666,1,23,True,6,1.791759469228055,2025-12-01,0,22,0,False,22,0.09584575252022397,0.9953961983671789,True,True,both,7.0,6.0,True
