bin,n,mean_pred,obs_rate
"(0.341, 0.594]",290,0.5123973642778784,0.5103448275862069
"(0.594, 0.647]",292,0.6146849764767939,0.5787671232876712
"(0.647, 0.688]",274,0.6720734485050054,0.6715328467153284
"(0.688, 0.708]",287,0.6970577441864544,0.6167247386759582
"(0.708, 0.742]",312,0.7295644898911995,0.7147435897435898
"(0.742, 0.772]",268,0.7625458036150277,0.7276119402985075
"(0.772, 0.797]",274,0.7838664029218353,0.7372262773722628
"(0.797, 0.819]",302,0.8087388483242283,0.7847682119205298
"(0.819, 0.857]",277,0.8368144369813,0.8158844765342961
"(0.857, 0.921]",273,0.8785030020480811,0.9047619047619048
