bin,n,mean_pred,obs_rate
"(0.0162, 0.0424]",532,0.03330180473012128,0.039473684210526314
"(0.0424, 0.0515]",532,0.046555320317030885,0.10902255639097744
"(0.0515, 0.0603]",531,0.056019023889990284,0.0583804143126177
"(0.0603, 0.0727]",532,0.06635833089980851,0.06578947368421052
"(0.0727, 0.0792]",531,0.0764043927660926,0.064030131826742
"(0.0792, 0.085]",532,0.08186353050638277,0.09586466165413533
"(0.085, 0.0943]",531,0.08966446435506581,0.16760828625235405
"(0.0943, 0.103]",532,0.09880618961779138,0.10150375939849623
"(0.103, 0.117]",531,0.10974796801167183,0.1111111111111111
"(0.117, 0.292]",532,0.1516528521518356,0.17669172932330826
