bin,n,mean_pred,obs_rate
"(0.0208, 0.0335]",541,0.029127325743847965,0.11645101663585952
"(0.0335, 0.0395]",534,0.037063582110425514,0.09550561797752809
"(0.0395, 0.0503]",542,0.04368418249619864,0.16236162361623616
"(0.0503, 0.0734]",524,0.061075495719677506,0.1431297709923664
"(0.0734, 0.0959]",528,0.08580912804170178,0.03409090909090909
"(0.0959, 0.128]",543,0.11130501461740233,0.0570902394106814
"(0.128, 0.204]",527,0.16051950048879346,0.05313092979127135
"(0.204, 0.241]",520,0.2208462519055671,0.07115384615384615
"(0.241, 0.264]",558,0.25313659734429783,0.10931899641577061
"(0.264, 0.32]",499,0.29084895642543307,0.14829659318637275
