weekday_cat,hour_3h_bin,train_cat,event_type,y,n,days_until_xmas_z_mean
0,00-02,HighSpeed,arrival_only,0,10,0.08348643813169924
0,00-02,HighSpeed,both,1,20,0.3567949206620261
0,00-02,Regional,arrival_only,4,43,0.41036701524438257
0,00-02,Regional,both,0,6,1.2548085061188143
0,00-02,Regional,departure_only,2,16,0.5227322136268674
0,00-02,S-Bahn,arrival_only,3,46,0.11743780242118083
0,00-02,S-Bahn,departure_only,1,29,0.05655949404004141
0,03-05,HighSpeed,both,0,19,0.08348643813169923
0,03-05,HighSpeed,departure_only,0,18,-0.04666045831131357
0,03-05,Regional,arrival_only,5,41,0.10253232541604258
0,03-05,Regional,both,1,8,1.2548085061188143
0,03-05,Regional,departure_only,6,78,0.17358813566916964
0,03-05,S-Bahn,arrival_only,1,34,0.06051933875940286
0,03-05,S-Bahn,departure_only,3,58,0.02963254994838359
0,06-08,HighSpeed,arrival_only,0,2,-1.4782763191844543
0,06-08,HighSpeed,both,0,62,0.09608129907779724
0,06-08,HighSpeed,departure_only,1,40,-0.09221187206636804
0,06-08,Regional,arrival_only,17,174,0.02065690191783099
0,06-08,Regional,both,0,67,0.73616341133845
0,06-08,Regional,departure_only,15,184,0.019827630088921237
0,06-08,S-Bahn,arrival_only,10,113,-0.04090174607932185
0,06-08,S-Bahn,departure_only,10,125,-0.053948684512122286
0,09-11,HighSpeed,arrival_only,2,21,-0.2139921823094729
0,09-11,HighSpeed,both,6,89,0.10980828235612879
0,09-11,HighSpeed,departure_only,0,15,-0.020631079022711003
0,09-11,Regional,arrival_only,19,174,-0.010757866189103134
0,09-11,Regional,both,2,62,0.6880397635444038
0,09-11,Regional,departure_only,18,173,-0.011302630953963264
0,09-11,S-Bahn,arrival_only,17,103,0.02283545726505249
0,09-11,S-Bahn,departure_only,17,101,0.05256044293731996
0,12-14,HighSpeed,arrival_only,0,18,0.17025103576037445
0,12-14,HighSpeed,both,6,74,0.09403888919464622
0,12-14,HighSpeed,departure_only,0,23,-0.18812447618415354
0,12-14,Regional,arrival_only,20,180,0.04010413931736164
0,12-14,Regional,both,1,65,0.6961779813864979
0,12-14,Regional,departure_only,16,180,0.0444423691987954
0,12-14,S-Bahn,arrival_only,7,109,0.0046818953313428596
0,12-14,S-Bahn,departure_only,8,112,0.00679273129920955
0,15-17,HighSpeed,arrival_only,0,22,-0.2714596430765175
0,15-17,HighSpeed,both,5,86,0.11980650225533071
0,15-17,HighSpeed,departure_only,0,20,-0.033645768667012285
0,15-17,Regional,arrival_only,18,175,0.021015927839053095
0,15-17,Regional,both,1,68,0.7495323199282942
0,15-17,Regional,departure_only,19,178,0.00013393142100564644
0,15-17,S-Bahn,arrival_only,17,119,-0.028068044533740306
0,15-17,S-Bahn,departure_only,15,119,-0.05431615810207902
0,18-20,HighSpeed,arrival_only,1,29,0.37968282313993523
0,18-20,HighSpeed,both,4,76,0.1348602130434148
0,18-20,HighSpeed,departure_only,0,12,-0.17680735475432638
0,18-20,Regional,arrival_only,6,169,0.02341863977338564
0,18-20,Regional,both,0,65,0.7202051007298234
0,18-20,Regional,departure_only,6,154,0.06320380491980114
0,18-20,S-Bahn,arrival_only,14,101,-0.04021754264581787
0,18-20,S-Bahn,departure_only,14,89,0.004520905458410569
0,21-23,HighSpeed,arrival_only,1,39,-0.09671695694324156
0,21-23,HighSpeed,both,0,44,0.11898104625252091
0,21-23,Regional,arrival_only,5,143,0.07802572919003437
0,21-23,Regional,both,0,26,0.8944017159689328
0,21-23,Regional,departure_only,4,127,0.034297059948513293
0,21-23,S-Bahn,arrival_only,8,76,0.02183790823764054
0,21-23,S-Bahn,departure_only,7,65,-0.07268983759991612
1,00-02,HighSpeed,arrival_only,0,9,0.2322257483522853
1,00-02,HighSpeed,both,0,15,-0.2883618374197659
1,00-02,Regional,arrival_only,1,39,0.09206755218288688
1,00-02,Regional,both,0,3,0.7528133341243365
1,00-02,Regional,departure_only,1,14,0.3065954034625783
1,00-02,S-Bahn,arrival_only,3,42,-0.13962252719917986
1,00-02,S-Bahn,departure_only,1,26,-0.1181697420712107
1,03-05,HighSpeed,both,0,19,-0.11026608439248524
1,03-05,HighSpeed,departure_only,0,17,-0.21180483951211132
1,03-05,Regional,arrival_only,0,40,-0.04759007900019223
1,03-05,Regional,both,0,5,0.9089896098559518
1,03-05,Regional,departure_only,0,78,0.021988454098187688
1,03-05,S-Bahn,arrival_only,3,31,-0.10363721021032837
1,03-05,S-Bahn,departure_only,4,56,-0.11173390653281998
1,06-08,HighSpeed,arrival_only,0,2,-1.589830801849894
1,06-08,HighSpeed,both,1,63,0.021511725539788373
1,06-08,HighSpeed,departure_only,0,40,-0.2037663547318076
1,06-08,Regional,arrival_only,9,173,-0.07320569647929387
1,06-08,Regional,both,1,66,0.6108349016410498
1,06-08,Regional,departure_only,8,183,-0.07500626948040066
1,06-08,S-Bahn,arrival_only,9,111,-0.16876739203970012
1,06-08,S-Bahn,departure_only,10,125,-0.17799726923609105
1,09-11,HighSpeed,arrival_only,2,24,-0.2558251133090127
1,09-11,HighSpeed,both,5,87,-0.028068044533740313
1,09-11,HighSpeed,departure_only,1,15,-0.13218556168815054
1,09-11,Regional,arrival_only,17,176,-0.11236773882069179
1,09-11,Regional,both,4,60,0.5575929894598173
1,09-11,Regional,departure_only,17,175,-0.0994629134396216
1,09-11,S-Bahn,arrival_only,16,107,-0.07185578539307172
1,09-11,S-Bahn,departure_only,15,101,-0.06672553852671441
1,12-14,HighSpeed,arrival_only,1,15,0.0239907140434648
1,12-14,HighSpeed,both,10,80,-0.02806804453374031
1,12-14,HighSpeed,departure_only,4,23,-0.2996789588495931
1,12-14,Regional,arrival_only,18,180,-0.0714503433480779
1,12-14,Regional,both,7,69,0.6283249983962372
1,12-14,Regional,departure_only,19,182,-0.09242639991764774
1,12-14,S-Bahn,arrival_only,6,106,-0.07963568274700954
1,12-14,S-Bahn,departure_only,6,109,-0.10687258733409669
1,15-17,HighSpeed,arrival_only,1,21,-0.39991632008520545
1,15-17,HighSpeed,both,7,83,0.09423867742475364
1,15-17,HighSpeed,departure_only,0,21,-0.17680735475432635
1,15-17,Regional,arrival_only,21,172,-0.1052481807964572
1,15-17,Regional,both,5,67,0.6246089286730104
1,15-17,Regional,departure_only,19,173,-0.09577452245207067
1,15-17,S-Bahn,arrival_only,13,119,-0.17243266915960323
1,15-17,S-Bahn,departure_only,13,121,-0.15713934679127367
1,18-20,HighSpeed,arrival_only,1,30,0.05002009333206737
1,18-20,HighSpeed,both,7,76,-0.11026608439248524
1,18-20,HighSpeed,departure_only,0,12,-0.2883618374197659
1,18-20,Regional,arrival_only,13,173,-0.1228571136194028
1,18-20,Regional,both,8,61,0.5607933229789077
1,18-20,Regional,departure_only,15,157,-0.05791064499201076
1,18-20,S-Bahn,arrival_only,16,104,-0.1331866916607891
1,18-20,S-Bahn,departure_only,16,88,-0.13455186889620532
1,21-23,HighSpeed,arrival_only,1,42,-0.08384528586646008
1,21-23,HighSpeed,both,1,49,-0.09181346319970576
1,21-23,Regional,arrival_only,17,131,-0.01018526486981489
1,21-23,Regional,both,2,31,0.8787619435853166
1,21-23,Regional,departure_only,12,122,-0.1048760489919118
1,21-23,S-Bahn,arrival_only,7,74,-0.11248765303731618
1,21-23,S-Bahn,departure_only,6,67,-0.1446175040349458
2,00-02,HighSpeed,arrival_only,0,8,0.15320798979759892
2,00-02,HighSpeed,both,1,13,-0.07955472884086626
2,00-02,Regional,arrival_only,4,57,-0.34511762684604214
2,00-02,Regional,both,0,3,0.6412588514588969
2,00-02,Regional,departure_only,4,35,-0.7420167335925534
2,00-02,S-Bahn,arrival_only,3,43,-0.3212228478173373
2,00-02,S-Bahn,departure_only,0,29,-0.43581891220741587
2,03-05,HighSpeed,both,1,19,-0.13962252719917986
2,03-05,HighSpeed,departure_only,0,14,-0.30695425119733916
2,03-05,Regional,arrival_only,5,34,-0.0018199309654016009
2,03-05,Regional,both,0,5,0.7974351271905122
2,03-05,Regional,departure_only,6,64,0.17761053288066384
2,03-05,S-Bahn,arrival_only,0,32,-0.33484287186369904
2,03-05,S-Bahn,departure_only,0,51,-0.20086812552530353
2,06-08,HighSpeed,arrival_only,0,2,-1.7013852845153334
2,06-08,HighSpeed,both,6,60,-0.11359314791057731
2,06-08,HighSpeed,departure_only,2,42,-0.3255466649749124
2,06-08,Regional,arrival_only,19,145,0.04886608144242489
2,06-08,Regional,both,1,60,0.6803029203918007
2,06-08,Regional,departure_only,18,169,-0.08879592858829911
2,06-08,S-Bahn,arrival_only,9,88,-0.07750696298774194
2,06-08,S-Bahn,departure_only,10,96,-0.06641489794998516
2,09-11,HighSpeed,arrival_only,2,19,-0.2629195869872973
2,09-11,HighSpeed,both,16,89,-0.09575278682513061
2,09-11,HighSpeed,departure_only,1,15,-0.2437400443535901
2,09-11,Regional,arrival_only,23,163,-0.14441321050383063
2,09-11,Regional,both,2,65,0.48508257572728153
2,09-11,Regional,departure_only,23,162,-0.13962252719917986
2,09-11,S-Bahn,arrival_only,10,88,-0.03313870283671485
2,09-11,S-Bahn,departure_only,9,88,-0.01539139877630401
2,12-14,HighSpeed,arrival_only,0,17,-0.1855567259437726
2,12-14,HighSpeed,both,8,71,-0.1616191857529285
2,12-14,HighSpeed,departure_only,2,21,-0.36273149253005893
2,12-14,Regional,arrival_only,18,168,-0.13032632031039323
2,12-14,Regional,both,4,65,0.48508257572728153
2,12-14,Regional,departure_only,21,172,-0.1350825191837259
2,12-14,S-Bahn,arrival_only,1,89,-0.016787254151841943
2,12-14,S-Bahn,departure_only,1,88,-0.050886006897125684
2,15-17,HighSpeed,arrival_only,2,21,-0.43710114764035196
2,15-17,HighSpeed,both,9,80,-0.12010049273272794
2,15-17,HighSpeed,departure_only,3,23,-0.37728207722555107
2,15-17,Regional,arrival_only,20,168,-0.14891873408796646
2,15-17,Regional,both,2,64,0.4948435929605075
2,15-17,Regional,departure_only,18,167,-0.13962252719917986
2,15-17,S-Bahn,arrival_only,8,94,-0.03993554268963814
2,15-17,S-Bahn,departure_only,10,94,-0.015013796562252714
2,18-20,HighSpeed,arrival_only,1,30,-0.13962252719917986
2,18-20,HighSpeed,both,8,78,-0.27978072336857823
2,18-20,HighSpeed,departure_only,1,11,-0.2816009596824665
2,18-20,Regional,arrival_only,19,162,-0.16372380431825628
2,18-20,Regional,both,3,67,0.5130544460075709
2,18-20,Regional,departure_only,19,149,-0.13438171257731357
2,18-20,S-Bahn,arrival_only,10,84,-0.1210301134216066
2,18-20,S-Bahn,departure_only,10,76,-0.13962252719917986
2,21-23,HighSpeed,arrival_only,2,42,-0.19539976853189964
2,21-23,HighSpeed,both,1,47,-0.12300802978092291
2,21-23,HighSpeed,departure_only,0,1,-1.7013852845153334
2,21-23,Regional,arrival_only,15,145,-0.15039330483584298
2,21-23,Regional,both,1,27,0.6701803840017887
2,21-23,Regional,departure_only,12,122,-0.21002986461917036
2,21-23,S-Bahn,arrival_only,5,71,-0.21661083213730012
2,21-23,S-Bahn,departure_only,4,64,-0.3470441434052315
3,00-02,HighSpeed,arrival_only,1,9,0.1826459782787566
3,00-02,HighSpeed,both,0,11,0.245747503826884
3,00-02,Regional,arrival_only,2,38,-0.12787995007650202
3,00-02,Regional,both,0,3,0.5297043687934574
3,00-02,Regional,departure_only,0,22,-0.3221662261062627
3,00-02,S-Bahn,arrival_only,2,30,0.06117554159861131
3,00-02,S-Bahn,departure_only,1,20,0.022131472665707475
3,03-05,HighSpeed,both,1,15,0.16529305875302155
3,03-05,HighSpeed,departure_only,0,12,0.009116783021406208
3,03-05,Regional,arrival_only,3,25,0.34229283791551895
3,03-05,Regional,both,0,5,0.6858806445250727
3,03-05,Regional,departure_only,6,55,0.4445173093034854
3,03-05,S-Bahn,arrival_only,2,24,0.041653507132159394
3,03-05,S-Bahn,departure_only,4,39,0.1492749791908046
3,06-08,HighSpeed,both,2,47,0.0644984410822627
3,06-08,HighSpeed,departure_only,0,32,0.13926367946441898
3,06-08,Regional,arrival_only,13,115,0.2988350916249825
3,06-08,Regional,both,3,47,0.695849342976027
3,06-08,Regional,departure_only,15,127,0.21612208287564702
3,06-08,S-Bahn,arrival_only,17,73,0.2087942131805491
3,06-08,S-Bahn,departure_only,18,81,0.1826459782787566
3,09-11,HighSpeed,arrival_only,1,15,0.21735181733022665
3,09-11,HighSpeed,both,7,75,0.17570481046846256
3,09-11,HighSpeed,departure_only,1,14,0.027709196798979447
3,09-11,Regional,arrival_only,23,136,0.1564890039936413
3,09-11,Regional,both,2,64,0.6395158126672494
3,09-11,Regional,departure_only,19,137,0.11361429111433619
3,09-11,S-Bahn,arrival_only,14,74,0.17092103265325995
3,09-11,S-Bahn,departure_only,14,76,0.18036269939379146
3,12-14,HighSpeed,arrival_only,0,15,0.11323430017581644
3,12-14,HighSpeed,both,4,51,0.16223077883671536
3,12-14,HighSpeed,departure_only,1,18,-0.077647814607269
3,12-14,Regional,arrival_only,14,132,0.15109521550469288
3,12-14,Regional,both,2,60,0.5947778170149637
3,12-14,Regional,departure_only,14,132,0.14517944748455594
3,12-14,S-Bahn,arrival_only,15,79,0.18374426432468918
3,12-14,S-Bahn,departure_only,14,77,0.15447565437334257
3,15-17,HighSpeed,arrival_only,1,18,-0.1644124122359442
3,15-17,HighSpeed,both,10,70,0.09464188639824318
3,15-17,HighSpeed,departure_only,1,19,0.0776151495703603
3,15-17,Regional,arrival_only,20,133,0.14807061230642737
3,15-17,Regional,both,2,60,0.6208071963035663
3,15-17,Regional,departure_only,21,138,0.139263679464419
3,15-17,S-Bahn,arrival_only,14,80,0.139263679464419
3,15-17,S-Bahn,departure_only,15,81,0.15372444573586486
3,18-20,HighSpeed,arrival_only,5,23,0.25809345447760457
3,18-20,HighSpeed,both,4,64,0.18806876563054878
3,18-20,HighSpeed,departure_only,1,8,0.139263679464419
3,18-20,Regional,arrival_only,16,127,0.0808512928718857
