bin,n,mean_pred,obs_rate
"(0.277, 0.559]",285,0.46775087063842297,0.48771929824561405
"(0.559, 0.637]",285,0.6022773434067236,0.5684210526315789
"(0.637, 0.687]",285,0.6637435389375541,0.6456140350877193
"(0.687, 0.723]",285,0.7057390571089633,0.6912280701754386
"(0.723, 0.752]",285,0.7381448897618766,0.6736842105263158
"(0.752, 0.779]",284,0.765546114526338,0.7007042253521126
"(0.779, 0.807]",285,0.7927785553557927,0.7649122807017544
"(0.807, 0.834]",285,0.8204372852947199,0.7859649122807018
"(0.834, 0.864]",285,0.8481800380297819,0.8456140350877193
"(0.864, 0.941]",285,0.8928008406827691,0.8842105263157894
