weekday_cat,hour_3h_bin,train_cat,y,n,days_until_xmas_z_mean
0,00-02,HighSpeed,18,19,0.3541027330184866
0,00-02,Regional,13,20,0.8057846828345756
0,00-02,S-Bahn,16,28,0.012494535678587366
0,03-05,HighSpeed,22,37,0.004997936291363889
0,03-05,Regional,41,79,0.24492707414776688
0,03-05,S-Bahn,23,55,0.011485902306488213
0,06-08,HighSpeed,76,101,-0.008926440392231396
0,06-08,Regional,168,236,0.18973193373346917
0,06-08,S-Bahn,82,115,-0.08736016815922933
0,09-11,HighSpeed,88,98,0.02041951217365219
0,09-11,Regional,160,215,0.17272650230206069
0,09-11,S-Bahn,55,84,-0.09845513525232008
0,12-14,HighSpeed,80,91,-0.04298029978686635
0,12-14,Regional,181,228,0.241693197996383
0,12-14,S-Bahn,72,104,-0.06645042248378909
0,15-17,HighSpeed,93,101,0.037211046529532096
0,15-17,Regional,178,226,0.22261161160083684
0,15-17,S-Bahn,77,104,-0.10378925404707523
0,18-20,HighSpeed,77,84,0.05872356523313214
0,18-20,Regional,176,213,0.25392727030992823
0,18-20,S-Bahn,63,75,-0.06664956291879327
0,21-23,HighSpeed,40,44,0.10327153916751164
0,21-23,Regional,94,149,0.15658018215597388
0,21-23,S-Bahn,37,58,-0.13288779174811893
1,00-02,HighSpeed,14,15,-0.301862865292317
1,00-02,Regional,9,16,0.3453435484713097
1,00-02,S-Bahn,10,25,-0.16724393122948264
1,03-05,HighSpeed,27,36,-0.17242158253959167
1,03-05,Regional,49,83,0.05994891300445744
1,03-05,S-Bahn,26,52,-0.1027224302881242
1,06-08,HighSpeed,67,102,-0.0658228790961708
1,06-08,Regional,164,240,0.10911320744758596
1,06-08,S-Bahn,90,115,-0.14428217324552095
1,09-11,HighSpeed,78,96,-0.107700941163229
1,09-11,Regional,159,214,0.06589554551916434
1,09-11,S-Bahn,70,86,-0.0700726612932507
1,12-14,HighSpeed,76,89,-0.16514960036247228
1,12-14,Regional,178,225,0.06747626149545931
1,12-14,S-Bahn,85,103,-0.12592325766725343
1,15-17,HighSpeed,83,97,-0.010953590652171394
1,15-17,Regional,166,216,0.02533593277707205
1,15-17,S-Bahn,73,108,-0.1939951296650459
1,18-20,HighSpeed,71,81,-0.1676274609561574
1,18-20,Regional,162,195,0.08048676991573324
1,18-20,S-Bahn,50,72,-0.15084803541413744
1,21-23,HighSpeed,46,48,-0.07534062047504765
1,21-23,Regional,104,139,0.08552975071583942
1,21-23,S-Bahn,39,61,-0.20849538265100695
2,00-02,HighSpeed,9,12,-0.08920932934141111
2,00-02,Regional,14,34,-0.5879389775945587
2,00-02,S-Bahn,22,29,-0.44852047629294184
2,03-05,HighSpeed,20,32,-0.2267406922661818
2,03-05,Regional,27,63,0.21590226571858434
2,03-05,S-Bahn,25,51,-0.2148435155425857
2,06-08,HighSpeed,72,94,-0.21176543747962978
2,06-08,Regional,150,210,0.10495259478767689
2,06-08,S-Bahn,50,86,-0.11780682204259461
2,09-11,HighSpeed,72,87,-0.19856489580492043
2,09-11,Regional,135,202,-0.007827928798856068
2,09-11,S-Bahn,45,79,-0.11460603671694582
2,12-14,HighSpeed,64,82,-0.3528275515329371
2,12-14,Regional,154,212,-0.04036356226491098
2,12-14,S-Bahn,52,87,-0.08251409057833911
2,15-17,HighSpeed,79,91,-0.23927587143385642
2,15-17,Regional,167,211,-0.0030173851387669836
2,15-17,S-Bahn,62,84,-0.08920932934141111
2,18-20,HighSpeed,70,80,-0.2995514138145898
2,18-20,Regional,152,194,0.030223606806722068
2,18-20,S-Bahn,47,66,-0.3069060321528128
2,21-23,HighSpeed,42,47,-0.15392997071777378
2,21-23,Regional,100,136,-0.068270298307882
2,21-23,S-Bahn,47,60,-0.4645890493243146
3,00-02,HighSpeed,11,11,0.22935071067990645
3,00-02,Regional,16,25,-0.23381373378802706
3,00-02,S-Bahn,11,19,-0.060498668881220116
3,03-05,HighSpeed,18,26,0.09357314135886591
3,03-05,Regional,29,54,0.43985623111615674
