,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[hour_dec],0.13,0.01,0.11,0.15,0.0,0.0,9275.8,5431.11,1.0
beta[days_until_xmas],0.17,0.01,0.15,0.19,0.0,0.0,8246.99,5619.12,1.0
intercept,1.81,0.02,1.78,1.85,0.0,0.0,7810.19,5606.46,1.0
weekday_cat_raw[0],-0.02,0.19,-0.37,0.36,0.0,0.0,2713.04,3192.72,1.0
weekday_cat_raw[1],0.01,0.19,-0.32,0.41,0.0,0.0,2717.56,3059.28,1.0
weekday_cat_raw[2],-0.01,0.19,-0.35,0.37,0.0,0.0,2716.13,3007.31,1.0
weekday_cat_raw[3],0.11,0.19,-0.24,0.48,0.0,0.0,2706.33,2752.92,1.0
weekday_cat_raw[4],0.05,0.19,-0.28,0.44,0.0,0.0,2695.97,3265.33,1.0
weekday_cat_raw[5],-0.07,0.19,-0.43,0.3,0.0,0.0,2757.99,3375.67,1.0
weekday_cat_raw[6],-0.1,0.19,-0.47,0.26,0.0,0.0,2729.47,3434.72,1.0
dest_top_raw[Aachen Hbf],-0.07,0.17,-0.38,0.23,0.0,0.0,2447.06,3586.02,1.0
dest_top_raw[Berlin Ostbahnhof],-0.49,0.16,-0.78,-0.19,0.0,0.0,2206.87,3214.1,1.0
dest_top_raw[Dortmund Hbf],0.05,0.15,-0.22,0.34,0.0,0.0,2101.86,2784.69,1.0
dest_top_raw[Düsseldorf Hbf],-0.1,0.15,-0.38,0.2,0.0,0.0,2146.58,2987.25,1.0
dest_top_raw[Hamburg-Altona],0.18,0.16,-0.11,0.49,0.0,0.0,2285.73,3092.56,1.0
dest_top_raw[Hamm(Westf)Hbf],0.3,0.16,0.02,0.61,0.0,0.0,2206.59,2987.22,1.0
dest_top_raw[Köln Hbf],0.1,0.16,-0.19,0.4,0.0,0.0,2270.22,3009.85,1.0
dest_top_raw[Köln/Bonn Flughafen],-0.13,0.17,-0.45,0.18,0.0,0.0,2508.17,3834.9,1.0
dest_top_raw[Minden(Westf)],0.36,0.17,0.05,0.68,0.0,0.0,2434.11,3791.5,1.0
dest_top_raw[München Hbf],-0.11,0.16,-0.43,0.19,0.0,0.0,2393.43,3353.84,1.0
dest_top_raw[Other],-0.11,0.15,-0.4,0.18,0.0,0.0,2198.64,2891.65,1.0
train_cat_offset[HighSpeed],1.33,0.7,0.06,2.71,0.01,0.01,4870.71,4772.98,1.0
train_cat_offset[Regional],-0.25,0.58,-1.35,0.82,0.01,0.01,4269.03,4464.16,1.0
train_cat_offset[S-Bahn],-1.09,0.67,-2.32,0.19,0.01,0.01,4071.6,4513.47,1.0
sigma,1.02,0.01,1.01,1.04,0.0,0.0,9795.84,5843.72,1.0
train_cat_sigma,0.5,0.15,0.24,0.79,0.0,0.0,4719.3,4683.63,1.0
weekday_cat_eff[0],-0.01,0.02,-0.05,0.03,0.0,0.0,8206.35,5807.39,1.0
weekday_cat_eff[1],0.01,0.02,-0.02,0.05,0.0,0.0,8048.97,5581.57,1.0
weekday_cat_eff[2],-0.0,0.02,-0.04,0.04,0.0,0.0,8615.89,5881.49,1.0
weekday_cat_eff[3],0.12,0.02,0.07,0.16,0.0,0.0,7972.4,5057.94,1.0
weekday_cat_eff[4],0.06,0.02,0.01,0.1,0.0,0.0,8039.93,5384.25,1.0
weekday_cat_eff[5],-0.07,0.02,-0.12,-0.03,0.0,0.0,7296.01,5385.55,1.0
weekday_cat_eff[6],-0.1,0.03,-0.15,-0.05,0.0,0.0,7376.47,4359.29,1.0
dest_top_eff[Aachen Hbf],-0.07,0.07,-0.21,0.07,0.0,0.0,10165.66,5460.76,1.0
dest_top_eff[Berlin Ostbahnhof],-0.49,0.05,-0.58,-0.39,0.0,0.0,9729.41,5879.88,1.0
dest_top_eff[Dortmund Hbf],0.05,0.02,0.01,0.1,0.0,0.0,7882.43,6842.05,1.0
dest_top_eff[Düsseldorf Hbf],-0.1,0.04,-0.17,-0.02,0.0,0.0,9160.4,5261.34,1.0
dest_top_eff[Hamburg-Altona],0.18,0.05,0.08,0.27,0.0,0.0,9438.45,6284.64,1.0
dest_top_eff[Hamm(Westf)Hbf],0.3,0.04,0.22,0.38,0.0,0.0,9039.62,5710.93,1.0
dest_top_eff[Köln Hbf],0.1,0.05,0.01,0.2,0.0,0.0,9707.12,5582.49,1.0
dest_top_eff[Köln/Bonn Flughafen],-0.13,0.07,-0.26,0.01,0.0,0.0,9752.27,5494.82,1.0
dest_top_eff[Minden(Westf)],0.36,0.08,0.22,0.51,0.0,0.0,11262.17,5755.04,1.0
dest_top_eff[München Hbf],-0.1,0.06,-0.22,0.02,0.0,0.0,10112.78,5725.57,1.0
dest_top_eff[Other],-0.11,0.04,-0.18,-0.03,0.0,0.0,7908.67,5208.42,1.0
train_cat_raw_eff[HighSpeed],0.61,0.31,-0.02,1.16,0.0,0.0,4224.86,4443.42,1.0
train_cat_raw_eff[Regional],-0.11,0.31,-0.71,0.46,0.0,0.0,4230.22,4495.62,1.0
train_cat_raw_eff[S-Bahn],-0.5,0.31,-1.09,0.08,0.0,0.0,4218.31,4590.98,1.0
train_cat_eff[HighSpeed],0.61,0.02,0.57,0.65,0.0,0.0,8685.8,7769.95,1.0
train_cat_eff[Regional],-0.11,0.01,-0.14,-0.08,0.0,0.0,8601.38,7136.75,1.0
train_cat_eff[S-Bahn],-0.5,0.02,-0.53,-0.46,0.0,0.0,8495.36,6711.86,1.0
